Simulação,Status,Timeslot Total,EPRs Criados,Pares Eprs Consumidos,Fidelidade Média dos Eprs,Erro
68,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
69,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
70,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
71,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
72,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
73,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
74,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
75,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
76,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
77,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
78,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
79,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
80,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
81,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
82,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
83,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
84,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
85,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
86,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
87,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
88,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
89,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
90,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
91,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
92,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
93,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
94,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
95,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
96,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
97,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
98,Sucesso,1,2,2,"{""media"": 0.8448275862068965}",Nenhum
